SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SOL·LICITANT,ESTAT,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD,NÚM. AEROGENERADORS,AEROGENERADORS AL MUNICIPI
,Torre Madrina,Catalunya,0,Batea,430228,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC TORRE MADRINA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,5
,Tortosa,Catalunya,29.9,Tortosa,431554,Baix Ebre,09,Terres de l'Ebre,"PARC EÒLIC DE Tortosa, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,23,23
,Tres Termes,Catalunya,30,Batea,430228,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,8,5
,Tres Termes,Catalunya,0,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Trucafort,Catalunya,29.85,"Argentera, l'",430173,Baix Camp,08,Camp de Tarragona,SOCIETAT EÒLICA L'ENDERROCADA,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,91,50
,Trucafort,Catalunya,0,Pradell de la Teixeta,431153,Priorat,29,Camp de Tarragona,SOCIETAT EÒLICA L'ENDERROCADA,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,28
,Trucafort,Catalunya,0,"Torre de Fontaubella, la",431515,Priorat,29,Camp de Tarragona,SOCIETAT EÒLICA L'ENDERROCADA,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,11
,Trucafort,Catalunya,0,Colldejou,430458,Baix Camp,08,Camp de Tarragona,SOCIETAT EÒLICA L'ENDERROCADA,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,2
,Turó del Magre,Catalunya,28,Argençola,080082,Anoia,06,Catalunya Central,"PARQUE EÓLICO TURÓ DEL MAGRE, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,6
,Turó del Magre,Catalunya,0,Sant Guim de Freixenet,251924,Segarra,32,Lleida,"PARQUE EÓLICO TURÓ DEL MAGRE, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,6
,Turó del Magre,Catalunya,0,Veciana,082975,Anoia,06,Catalunya Central,"PARQUE EÓLICO TURÓ DEL MAGRE, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Veciana,Catalunya,29.27,Veciana,082975,Anoia,06,Catalunya Central,"PARC EÒLIC Veciana-CABARO, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,18,18
,Vilalba,Catalunya,48,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"BON VENT DE VILALBA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,21,21
,Vilalba dels Arcs,Catalunya,25,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC Vilalba dels Arcs, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,10,10
FUE-2020-01833055,Parc eòlic Les Basses Roges 1,Catalunya,49.4,Almatret,250208,Segrià,33,Lleida,"Energies Renovables de Centauro, SL",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,09/11/2023,DIA Favorable,9,4
FUE-2020-01833055,Parc eòlic Les Basses Roges 1,Catalunya,0,Seròs,252043,Segrià,33,Lleida,"Energies Renovables de Centauro, SL",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,09/11/2023,DIA Favorable,0,3
FUE-2020-01833055,Parc eòlic Les Basses Roges 1,Catalunya,0,Maials,251333,Segrià,33,Lleida,"Energies Renovables de Centauro, SL",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,09/11/2023,DIA Favorable,0,2
FUE-2020-01840030,Parc eòlic Els Gorgs,Catalunya,49.5,"Albi, l'",250096,Garrigues,18,Lleida,"Energia Inagotable de Alfa Centauri, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,9,6
FUE-2020-01840030,Parc eòlic Els Gorgs,Catalunya,0,"Vilosell, el",252537,Garrigues,18,Lleida,"Energia Inagotable de Alfa Centauri, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,3
FUE-2021-01927521,Parc eòlic Pla del Cirerer,Catalunya,30.5,Maials,251333,Segrià,33,Lleida,"Energía Inagotable de Caelum, SL",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,5,5
FUE-2021-02161860,Parc eòlic Anoia i Segarra III,Catalunya,35.7,Castellfollit de Riubregós,080608,Anoia,06,Catalunya Central,"Desarrollos Eólicos Anoia y Segarra III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,6,3
FUE-2021-02161860,Parc eòlic Anoia i Segarra III,Catalunya,0,Calonge de Segarra,080364,Anoia,06,Catalunya Central,"Desarrollos Eólicos Anoia y Segarra III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,0,3
FUE-2021-02180749,Parc eòlic Sant Joan,Catalunya,48.8,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"ENEL GREEN POWER ESPAÑA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,8,8
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,48.8,"Albi, l'",250096,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,8,4
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,0,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,0,3
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,0,Cervià de les Garrigues,250735,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,0,1
FUE-2021-02180781,Parc eòlic Les Covasses,Catalunya,48.96,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"ARANORT DESARROLLOS, S.L",En tramitació,Supòsit d'AIA,En redacció DIA/IIA,,,8,8
FUE-2021-02275029,Parc eòlic Tivissa III,Catalunya,43.2,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"DESARROLLOS EÓLICOS TIVISSA III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,26/01/2024,DIA Favorable,6,6
FUE-2021-02275086,Parc eòlic Tivissa IV,Catalunya,50,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"DESARROLLOS EÓLICOS TIVISSA IV, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,26/01/2024,DIA Favorable,7,7
FUE-2022-02625398,Parc eòlic Les Crestes,Catalunya,49,Batea,430228,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,10,10
FUE-2022-02642588,Parc eòlic El Calvari,Catalunya,39.2,"Pobla de Massaluca, la",431107,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,8,7
FUE-2022-02642588,Parc eòlic El Calvari,Catalunya,0,Batea,430228,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,0,1
FUE-2022-02645980,Parc eòlic Fontcalda,Catalunya,49,Batea,430228,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,11,11
FUE-2022-02726159,Parc eòlic La Maçana,Catalunya,50,Rubió,081859,Anoia,06,Penedès,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,9,6
FUE-2022-02726159,Parc eòlic La Maçana,Catalunya,0,Copons,080713,Anoia,06,Penedès,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,2
FUE-2022-02726159,Parc eòlic La Maçana,Catalunya,0,"Prats de Rei, els",081705,Anoia,06,Catalunya Central,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,1
FUE-2022-02805338,Parc eòlic Vilella,Catalunya,36.75,Veciana,082975,Anoia,06,Catalunya Central,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,7,3
FUE-2022-02805338,Parc eòlic Vilella,Catalunya,0,Sant Martí Sesgueioles,082286,Anoia,06,Catalunya Central,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,2
FUE-2022-02805338,Parc eòlic Vilella,Catalunya,0,Copons,080713,Anoia,06,Penedès,"Enel Green Power España, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,2
FUE-2023-03557964,Parc eòlic BCN4,Catalunya,2.35,"Far d'Empordà, el",170059,Alt Empordà,02,Girona,"Amazon Spain Fulfillment, SLU",En tramitació,Supòsit d'AIA,En redacció DIA/IIA,,,1,1
EoM-35-09,Plataforma I+D+i PLEMCAT,Ministerio,30,Sant Pere Pescador,171788,Alt Empordà,02,Girona,FUNDACIÓN INSTITUTO DE INVESTIGACIÓN EN ENERGÍA DE CATALUÑA (IREC),En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,3,3
FUE-2020-01830800,Parc eòlic Muntanyes del Burgans 1,Catalunya,49.4,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"ENERGIAS RENOVABLES DE AKER, SL",No autoritzat,Supòsit d'AIA,Inadmissió,16/02/2023,Inadmissió,9,9
FUE-2020-01830810,Parc eòlic Muntanyes del Burgans 2,Catalunya,49.4,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"ENERGIAS RENOVABLES DE ANUBIS, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,12/01/2023,DIA Desfavorable,9,9
FUE-2020-01840013,Parc eòlic Cantagalls,Catalunya,30,Argençola,080082,Anoia,06,Penedès,"ENERGIA INAGOTABLE DE HYDRA, S.L.",No autoritzat,Supòsit d'AIA,Informació Pública (DOGC),,,5,5
FUE-2020-01840051,Parc eòlic Panadella,Catalunya,37.45,Argençola,080082,Anoia,06,Penedès,"ENERGIA INAGOTABLE DE FURUD, SL",No autoritzat,Supòsit d'AIA,Informació Pública (DOGC),,,7,7
FUE-2021-02134076,Parc eòlic Serra de la Creu 5,Catalunya,22,Rasquera,431212,Ribera d'Ebre,30,Terres de l'Ebre,"ENERGIAS RENOVABLES DE MAAT, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,4,4
FUE-2021-02135881,Parc eòlic Serra de la Creu 1,Catalunya,41.39,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"ENERGIAS RENOVABLES DE ANAT, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Desfavorable,8,8
FUE-2021-02274280,Parc eòlic Tivissa II,Catalunya,50,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"DESARROLLOS EÓLICOS TIVISSA II, SLU",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,26/01/2024,DIA Desfavorable,8,8
FUE-2022-02659162,Parc eòlic Les Alzinetes,Catalunya,12.2,Maials,251333,Segrià,33,Lleida,"ENERGIA INAGOTABLE DE CASSIOPEIA, S.L.",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,2,2
FUE-2022-02659174,Parc eòlic Les Basses Roges 2,Catalunya,48.8,Maials,251333,Segrià,33,Lleida,"ENERGIAS RENOVABLES DE GRIAN, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,8,5
FUE-2022-02659174,Parc eòlic Les Basses Roges 2,Catalunya,0,Riba-roja d'Ebre,431251,Ribera d'Ebre,30,Terres de l'Ebre,"ENERGIAS RENOVABLES DE GRIAN, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,0,3
FUE-2022-02659181,Parc eòlic Les Basses Roges 3,Catalunya,24.4,Almatret,250208,Segrià,33,Lleida,"Energías Renovables De Hades, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,4,2
FUE-2022-02659181,Parc eòlic Les Basses Roges 3,Catalunya,0,Seròs,252043,Segrià,33,Lleida,"Energías Renovables De Hades, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,0,1
FUE-2022-02659181,Parc eòlic Les Basses Roges 3,Catalunya,0,Maials,251333,Segrià,33,Lleida,"Energías Renovables De Hades, SL",No autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,04/07/2024,DIA Desfavorable,0,1
PEol-312,Parc eòlic Els Plans,Ministerio,66,"Piles, les",431055,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,11,7
PEol-312,Parc eòlic Els Plans,Ministerio,0,Conesa,430461,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-312,Parc eòlic Els Plans,Ministerio,0,Santa Coloma de Queralt,431397,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-313,Parc eòlic Suró,Ministerio,72,Talavera,252167,Segarra,32,Lleida,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,12,6
PEol-313,Parc eòlic Suró,Ministerio,0,Llorac,430733,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-313,Parc eòlic Suró,Ministerio,0,Montoliu de Segarra,251410,Segarra,32,Lleida,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-313,Parc eòlic Suró,Ministerio,0,Ribera d'Ondara,259059,Segarra,32,Lleida,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-314,Parc eòlic Ferriols,Ministerio,72,Bellprat,080214,Anoia,06,Penedès,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,12,7
PEol-314,Parc eòlic Ferriols,Ministerio,0,Pontils,431418,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,3
PEol-314,Parc eòlic Ferriols,Ministerio,0,Santa Coloma de Queralt,431397,Conca de Barberà,16,Camp de Tarragona,Green Capital Power,No autoritzat,Supòsit d'AIA,Informat,,,0,2
PEol-461,Parc eòlic Segarra Sud 1,Ministerio,68.2,Ribera d'Ondara,259059,Segarra,32,Lleida,"Sistemes Energètics Abrego, SL",No autoritzat,Supòsit d'AIA,Informat,,,11,10
PEol-461,Parc eòlic Segarra Sud 1,Ministerio,0,Montoliu de Segarra,251410,Segarra,32,Lleida,"Sistemes Energètics Abrego, SL",No autoritzat,Supòsit d'AIA,Informat,,,0,1
PEol-462,Parc eòlic Segarra Sud 2,Ministerio,80.6,Talavera,252167,Segarra,32,Lleida,"Sistemes Energètics Abrego, SL",No autoritzat,Supòsit d'AIA,Informat,,,13,7
PEol-462,Parc eòlic Segarra Sud 2,Ministerio,0,Montoliu de Segarra,251410,Segarra,32,Lleida,"Sistemes Energètics Abrego, SL",No autoritzat,Supòsit d'AIA,Informat,,,0,5
PEol-462,Parc eòlic Segarra Sud 2,Ministerio,0,Llorac,430733,Conca de Barberà,16,Camp de Tarragona,"Sistemes Energètics Abrego, SL",No autoritzat,Supòsit d'AIA,Informat,,,0,1
